X,Y,VX,VY,Rotation
5,0,0,2.5,180
4.916667,-7.285232E-09,0,2.5,180
4.76087,-2.090545E-08,0,2.5,180
4.594203,-3.547591E-08,0,2.5,180
4.427536,-5.004637E-08,0,2.5,180
4.26087,-6.461684E-08,0,2.5,180
4.094203,-7.91873E-08,0,2.5,180
3.927537,-9.375776E-08,0,2.5,180
3.76087,-1.083282E-07,0,2.5,180
3.594203,-1.228987E-07,0,2.5,180
3.427536,-1.374691E-07,0,2.5,180
3.26087,-1.520396E-07,0,2.5,180
3.094203,-1.666101E-07,0,2.5,180
2.927536,-1.811805E-07,0,2.5,180
2.76087,-1.95751E-07,0,2.5,180
2.594203,-2.103214E-07,0,2.5,180
2.427536,-2.248919E-07,0,2.5,180
2.260869,-2.394624E-07,0,2.5,180
2.094203,-2.540328E-07,0,2.5,180
1.927536,-2.686033E-07,0,2.5,180
1.760869,-2.831738E-07,0,0,180
1.615942,-2.958438E-07,0,0,180
1.489918,-3.068611E-07,0,0,180
1.380332,-3.164414E-07,0,0,180
1.28504,-3.247721E-07,0,0,180
1.202177,-3.320162E-07,0,0,180
1.130122,-3.383155E-07,0,0,180
1.067466,-3.43793E-07,0,0,180
1.012982,-3.485561E-07,0,0,180
0.9656053,-3.52698E-07,0,2.5,180
0.8410745,-3.635848E-07,0,2.5,180
0.6744078,-3.781553E-07,0,2.5,180
0.5077412,-3.927258E-07,0,2.5,180
0.3410745,-4.072962E-07,0,2.5,180
0.1744078,-4.218667E-07,0,2.5,180
0.007741123,-4.364372E-07,0,2.5,180
-0.1589255,-4.510077E-07,0,2.5,180
-0.3255922,-4.655781E-07,0,2.5,180
-0.4922589,-4.801486E-07,0,2.5,180
-0.6589256,-4.94719E-07,0,2.5,180
-0.8255923,-5.092895E-07,0,2.5,180
-0.992259,-5.238599E-07,0,2.5,180
-1.158926,-5.384304E-07,0,0,180
-1.303853,-5.511003E-07,0,0,180
-1.429877,-5.621177E-07,0,0,180
-1.539463,-5.71698E-07,0,0,180
-1.634755,-5.800287E-07,0,0,180
-1.717618,-5.872728E-07,0,0,180
-1.789673,-5.93572E-07,0,0,180
-1.852329,-5.990496E-07,0,0,180
-1.906812,-6.038127E-07,0,0,180
-1.95419,-6.079546E-07,0,0,180
-1.995387,-6.115562E-07,0,0,180
-2.031211,-6.14688E-07,0,0,180
-2.062362,-6.174113E-07,0,0,180
-2.08945,-6.197794E-07,0,0,180
-2.113005,-6.218386E-07,0,0,180
-2.133487,-6.236293E-07,0,0,180
-2.151298,-6.251863E-07,0,0,180
-2.166786,-6.265403E-07,0,0,180
-2.180253,-6.277176E-07,0,0,180
-2.191964,-6.287414E-07,0,0,180
-2.202147,-6.296317E-07,0,0,180
-2.211003,-6.304059E-07,0,0,180
-2.218703,-6.31079E-07,0,0,180
-2.225399,-6.316644E-07,0,0,180
-2.231221,-6.321734E-07,0,0,180
-2.236284,-6.32616E-07,0,0,180
-2.240687,-6.330009E-07,0,0,180
-2.244515,-6.333356E-07,0,0,180
-2.247844,-6.336267E-07,0,0,180
-2.250739,-6.338797E-07,0,0,180
-2.253256,-6.340998E-07,0,0,180
-2.255445,-6.342911E-07,0,0,180
-2.257348,-6.344575E-07,0,0,180
-2.259003,-6.346021E-07,0,0,180
-2.260442,-6.347279E-07,0,0,180
-2.261694,-6.348374E-07,0,0,180
-2.262782,-6.349325E-07,0,0,180
-2.263728,-6.350152E-07,0,0,180
-2.264551,-6.350872E-07,0,0,180
-2.265266,-6.351497E-07,0,0,180
-2.265889,-6.352041E-07,0,0,180
-2.26643,-6.352514E-07,0,0,180
-2.2669,-6.352926E-07,0,0,180
-2.267309,-6.353283E-07,0,0,180
-2.267665,-6.353594E-07,0,0,180
-2.267974,-6.353865E-07,-2.5,0,180
-2.268243,-0.08333398,-2.5,0,179.1026
-2.270917,-0.2391083,-2.5,0,177.5006
-2.280662,-0.4577004,-2.5,0,175.3485
-2.303026,-0.730387,-2.5,0,172.7705
-2.343606,-1.049062,-2.5,0,169.8664
-2.407548,-1.40606,-2.5,0,166.7166
-2.499272,-1.794073,-2.5,0,163.3857
-2.618501,-2.193317,-2.5,0,160.0327
-2.760859,-2.58491,-2.5,0,156.7844
-2.925163,-2.967814,-2.5,0,153.6223
-3.110327,-3.341078,-2.5,0,150.5322
-3.315335,-3.703821,-2.5,0,147.5024
-3.539222,-4.055227,-2.5,0,144.5237
-3.781062,-4.394527,-2.5,0,141.5885
-4.039955,-4.721002,-2.5,0,138.6906
-4.315019,-5.033973,-2.5,0,135.8248
-4.605384,-5.332802,-2.5,0,132.9866
-4.910188,-5.616889,-2.5,0,130.1726
-5.22857,-5.885671,-2.5,0,127.3797
-5.55967,-6.138621,-2.5,0,124.6051
-5.902626,-6.375249,-2.5,0,121.8468
-6.25657,-6.5951,-2.5,0,119.1029
-6.620633,-6.797756,-2.5,0,116.3718
-6.993939,-6.982834,-2.5,0,113.652
-7.375606,-7.149991,-2.5,0,110.9425
-7.764748,-7.298918,-2.5,0,108.2422
-8.160475,-7.429348,-2.5,0,105.5501
-8.561891,-7.541047,-2.5,0,102.8657
-8.968097,-7.633824,-2.5,0,100.1882
-9.378194,-7.707525,0,0,97.51711
-9.737399,-7.754923,0,0,95.19912
-10.05116,-7.783473,0,0,93.18681
-10.3247,-7.798702,0,0,93.18681
-10.56257,-7.811945,0,0,93.18681
-10.7694,-7.823461,0,0,93.18681
-10.94926,-7.833475,0,0,93.18681
-11.10566,-7.842182,0,0,93.18681
-11.24166,-7.849754,0,0,93.18681
-11.35992,-7.856338,-2.5,0,84.89433
-11.54551,-7.839756,-2.5,0,83.7222
-11.78939,-7.812926,-2.5,0,82.17963
-12.08332,-7.772557,-2.5,0,80.31567
-12.41978,-7.715139,-2.5,0,78.17309
-12.79184,-7.637228,-2.5,0,75.78924
-13.19306,-7.535624,-2.5,0,73.19666
-13.59194,-7.415171,-2.5,0,70.58971
-13.98492,-7.2767,-2.5,0,67.98574
-14.37121,-7.120517,-2.5,0,65.38474
-14.75001,-6.946966,-2.5,0,62.78664
-15.12056,-6.756422,-2.5,0,60.19141
-15.4821,-6.549295,-2.5,0,57.59899
-15.8339,-6.326028,-2.5,0,55.00939
-16.17525,-6.087093,-2.5,0,52.42255
-16.50547,-5.832996,-2.5,0,49.83845
-16.8239,-5.564269,-2.5,0,47.25709
-17.1299,-5.281473,-2.5,0,44.67842
-17.42287,-4.985196,-2.5,0,42.10243
-17.70223,-4.676051,-2.5,0,39.52911
-17.96742,-4.354676,-2.5,0,36.95844
-18.2,-4.021729,-2.5,0,34.45292
-18.2,-3.953013,0,0,34.10179
-18.2,-3.953013,0,0,34.10179
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10179
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178
-18.2,-3.953013,0,0,34.10178

